PARID,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESS,PROPERTYCITY,PROPERTYSTATE,PROPERTYUNIT,PROPERTYZIP,MUNICODE,MUNIDESC,SCHOOLCODE,SCHOOLDESC,LEGAL1,LEGAL2,LEGAL3,NEIGHCODE,NEIGHDESC,TAXCODE,TAXDESC,TAXSUBCODE,TAXSUBCODE_DESC,OWNERCODE,OWNERDESC,CLASS,CLASSDESC,USECODE,USEDESC,LOTAREA,HOMESTEADFLAG,FARMSTEADFLAG,CLEANGREEN,ABATEMENTFLAG,RECORDDATE,SALEDATE,SALEPRICE,SALECODE,SALEDESC,DEEDBOOK,DEEDPAGE,PREVSALEDATE,PREVSALEPRICE,PREVSALEDATE2,PREVSALEPRICE2,CHANGENOTICEADDRESS1,CHANGENOTICEADDRESS2,CHANGENOTICEADDRESS3,CHANGENOTICEADDRESS4,COUNTYBUILDING,COUNTYLAND,COUNTYTOTAL,COUNTYEXEMPTBLDG,LOCALBUILDING,LOCALLAND,LOCALTOTAL,FAIRMARKETBUILDING,FAIRMARKETLAND,FAIRMARKETTOTAL,STYLE,STYLEDESC,STORIES,YEARBLT,EXTERIORFINISH,EXTFINISH_DESC,ROOF,ROOFDESC,BASEMENT,BASEMENTDESC,GRADE,GRADEDESC,CONDITION,CONDITIONDESC,CDU,CDUDESC,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,HEATINGCOOLING,HEATINGCOOLINGDESC,FIREPLACES,BSMTGARAGE,FINISHEDLIVINGAREA,CARDNUMBER,ALT_ID,TAXYEAR,ASOFDATE
0001H00181000500,"223"," ","4TH AVE","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","BENEDUM TREES BLDG CONDO LOT 60.17X80.09 MARKET","& WOOD STS                                     ","PT 18 STY STEEL & BRK OFFICE BLDG 225 UNIT 5   ","51C01","PITTSBURGH URBAN","T","20 - Taxable","","","20","CORPORATION","C","COMMERCIAL","550","CONDOMINIUM UNIT","0","","","","","","01-05-2001","148000","0","VALID SALE","10952","630","03-26-1984","1","","","223   4TH AVE  STE 500","  ","PITTSBURGH PA  ","15222","255500","0","255500","0","255500","0","255500","255500","0","255500","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001H00181000600,"223"," ","4TH AVE","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","BENEDUM TREES BLDG CONDO LOT 60.17X80.09 MARKET","& WOOD STS","PT 18 STY STEEL & BRK OFFICE BLDG 225 UNIT 6","51C01","PITTSBURGH URBAN","T","20 - Taxable","","","20","CORPORATION","C","COMMERCIAL","550","CONDOMINIUM UNIT","0","","","","","08-01-2006","08-10-2006","109000","0","VALID SALE","12951","233","02-08-2005","109000","03-26-1984","1","223   4TH AVE  STE 600","  ","PITTSBURGH PA  ","15222","262000","0","262000","0","262000","0","262000","262000","0","262000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001H00181000700,"223"," ","4TH AVE","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","BENEDUM TREES BLDG CONDO LOT 60.17X80.09 MARKET","& WOOD STS                                     ","PT 18 STY STEEL & BRK OFFICE BLDG 225 UNIT 7   ","51C01","PITTSBURGH URBAN","E","10 - Exempt","","","20","CORPORATION","C","COMMERCIAL","550","CONDOMINIUM UNIT","0","","","","","","01-07-2002","172500","0","VALID SALE","11241","222","05-02-1995","135000","","","223   4TH AVE   ","  ","PITTSBURGH PA  ","15222","262000","0","262000","0","262000","0","262000","262000","0","262000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001H00181000900,"223"," ","4TH AVE","PITTSBURGH","PA","UNIT 9","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","BENEDUM TREES BLDG CONDO LOT 60.17X80.09 MARKET","& WOOD STS","PT 18 STY STEEL & BRK OFFICE BLDG 223 UNIT 9","51C01","PITTSBURGH URBAN","T","20 - Taxable","","","20","CORPORATION","C","COMMERCIAL","550","CONDOMINIUM UNIT","0","","","","","10-17-2014","10-16-2014","215000","35","CORP TRANSFER","15769","165","10-22-2003","130000","07-19-2003","10494","3446   CEDAR RIDGE RD   ","  ","ALLISON PARK PA  ","15101","215000","0","215000","0","215000","0","215000","215000","0","215000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001H00181001000,"223"," ","4TH AVE","PITTSBURGH","PA","UNIT 10","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","BENEDUM TREES BLDG CONDO LOT 60.17X80.09 MARKET","& WOOD STS","PT 18 STY STEEL & BRK OFFICE BLDG #223 UNIT 10","51C01","PITTSBURGH URBAN","T","20 - Taxable","","","20","CORPORATION","C","COMMERCIAL","550","CONDOMINIUM UNIT","0","","","","","03-07-2003","03-07-2003","130000","0","VALID SALE","11590","549","02-27-2003","6410","04-26-1984","1","223   4TH AVE  STE 1000","  ","PITTSBURGH PA  ","15222","266000","0","266000","0","266000","0","266000","266000","0","266000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001H00181001100,"223"," ","4TH AVE","PITTSBURGH","PA","UNIT 11","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","BENEDUM TREES BLDG CONDO LOT 60.17X80.09 MARKET","& WOOD STS","PT 18 STY STEEL & BRK OFFICE BLDG 223 UNIT 11","51C01","PITTSBURGH URBAN","T","20 - Taxable","","","10","REGULAR","C","COMMERCIAL","550","CONDOMINIUM UNIT","0","","","","","01-08-2016","01-07-2016","290000","UR","OTHER VALID","16252","430","06-25-2004","121000","02-27-2003","6410","223   4TH AVE  UNIT 18","  ","PITTSBURGH PA  ","15222","266000","0","266000","0","266000","0","266000","266000","0","266000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001H00181001200,"223"," ","4TH AVE","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","BENEDUM TREES BLDG CONDO LOT 60.17X80.09 MARKET","& WOOD STS","PT 18 STY STEEL & BRK OFFICE BLDG 225 UNIT 12","51C01","PITTSBURGH URBAN","T","20 - Taxable","","","10","REGULAR","C","COMMERCIAL","550","CONDOMINIUM UNIT","0","","","","","07-13-2017","07-12-2017","191322","14","TIME ON MARKET","16864","538","03-02-2016","1","03-26-1984","1","223   4TH AVE  UNIT 18","  ","PITTSBURGH PA  ","15222","269000","0","269000","0","269000","0","269000","269000","0","269000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001H00181001300,"223"," ","4TH AVE","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","BENEDUM TREES BLDG CONDO LOT 60.17X80.09 MARKET","& WOOD STS                                     ","PT 18 STY STEEL & BRK OFFICE BLDG 225 UNIT 13  ","51C31","PITTSBURGH URBAN","E","10 - Exempt","","","20","CORPORATION","C","COMMERCIAL","550","CONDOMINIUM UNIT","4088","","","","","","12-16-1986","545086","9","OTHER INVALID","7455","112","","","","","223   4TH AVE   ","  ","PITTSBURGH PA  ","15222","242400","0","242400","0","242400","0","242400","242400","0","242400","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001H00181001400,"223"," ","4TH AVE","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","BENEDUM TREES BLDG CONDO LOT 60.17X80.09 MARKET","PT 18 STY STEEL & BRK OFFICE BLDG 225 UNIT 14  ","","51C31","PITTSBURGH URBAN","E","10 - Exempt","","","20","CORPORATION","C","COMMERCIAL","550","CONDOMINIUM UNIT","4088","","","","","","12-16-1986","545086","9","OTHER INVALID","7455","112","","","","","223   4TH AVE   ","  ","PITTSBURGH PA  ","15222","242400","40900","283300","0","242400","40900","283300","242400","40900","283300","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001H00181001500,"223"," ","4TH AVE","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","BENEDUM TREES BLDG CONDO LOT 60.17X80.09 MARKET","& WOOD STS                                     ","PT 18 STY STEELL & BRK OFFICE BLDG 225 UNIT 15 ","51C01","PITTSBURGH URBAN","T","20 - Taxable","","","10","REGULAR","C","COMMERCIAL","550","CONDOMINIUM UNIT","0","","","","","","03-26-1984","1","3","LOVE&AFFECTION","6835","174","","","","","223   4TH AVE  STE 1500","  ","PITTSBURGH PA  ","15222","269000","0","269000","0","269000","0","269000","269000","0","269000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001H0037000AU00,"300"," ","WOOD ST","PITTSBURGH","PA","UNIT APART","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","WOOD STREET COMMONS A CONDOMINIUM","APARTMENTS UNIT","45 PERCENTAGE INTEREST","51C01","PITTSBURGH URBAN","E","10 - Exempt","","","20","CORPORATION","C","COMMERCIAL","403","APART:40+ UNITS","0","","","","","07-15-2014","06-27-2014","1","3","LOVE&AFFECTION","15666","341","","","","","425   6TH AVE  STE 950","  ","PITTSBURGH PA  ","15219","1678000","0","1678000","0","1678000","0","1678000","1678000","0","1678000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001H0037000CU00,"300"," ","WOOD ST","PITTSBURGH","PA","UNIT COMM","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","WOOD STREET COMMONS A CONDOMINIUM","COMMERCIAL UNIT","55 PERCENTAGE INTEREST","51C01","PITTSBURGH URBAN","T","20 - Taxable","","","20","CORPORATION","C","COMMERCIAL","450","CONDOMINIUM OFFICE BUILDING","0","","","","","07-15-2014","06-27-2014","1","3","LOVE&AFFECTION","15666","318","","","","","425   6TH AVE  STE 950","  ","PITTSBURGH PA  ","15219","2540500","0","2540500","0","2540500","0","2540500","2540500","0","2540500","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001H00371000000,"201"," ","WOOD ST","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","POINT PARK DANCE STUDIO CONSOLIDATION PLAN NO 2","PARCEL A-R = 120.19 X 241.13 X 120.17 X 241.22","","51C01","PITTSBURGH URBAN","E","10 - Exempt","","","20","CORPORATION","G","GOVERNMENT","670","OWNED BY COLLEGE/UNIV/ACADEMY","28969","","","","","02-11-2005","02-11-2005","1","13","EXEMPT","12349","1","03-26-1969","0","","","201   WOOD ST   ","  ","PITTSBURGH PA  ","15222","32865800","3476300","36342100","0","32865800","3476300","36342100","32865800","3476300","36342100","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001H00382000000,"339"," ","BLVD OF THE ALLIES ","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","LOT 45X120X44.36","","","51C31","PITTSBURGH URBAN","E","10 - Exempt","","","20","CORPORATION","C","COMMERCIAL","449","OFFICE-ELEVATOR -3 + STORIES","7380","","","","","","08-25-1993","550000","5","OTHER","9039","476","","","","","601   GRANT ST  FL 5","  ","PITTSBURGH PA  ","15219","2071800","39100","2110900","0","2071800","39100","2110900","2071800","39100","2110900","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001H00384000000,"340"," ","3RD AVE","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","LOT 45.31X80.12","","","51C01","PITTSBURGH URBAN","T","20 - Taxable","","","20","CORPORATION","I","INDUSTRIAL","350","WAREHOUSE","7200","","","","","01-19-2016","01-14-2016","2900000","H","MULTI-PARCEL SA","16261","19","04-22-2011","1354026","07-01-2002","165000","535   SMITHFIELD ST  STE 900","  ","PITTSBURGH PA  ","15222","253600","100000","353600","0","253600","100000","353600","253600","100000","353600","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001H00388010000,"329"," ","BLVD OF THE ALLIES ","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","329 BOULEVARD OF THE ALLIES CONDO LOT          ","30.35X120.17X30.30 BLVD OF THE ALLIES TO 3RD ST","PT 8 STY BRK & STL BLDG UNIT 100               ","51C01","PITTSBURGH URBAN","T","20 - Taxable","","","10","REGULAR","C","COMMERCIAL","550","CONDOMINIUM UNIT","0","","","","","","01-04-1983","1","3","LOVE&AFFECTION","","","","","","","326   3RD AVE   ","  ","PITTSBURGH      PA  ","15222","76500","0","76500","0","76500","0","76500","76500","0","76500","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
0001H00388020000,"329"," ","BLVD OF THE ALLIES ","PITTSBURGH","PA"," ","15222","101","1st Ward  - PITTSBURGH","47","City Of Pittsburgh","329 BOULEVARD OF THE ALLIES CONDO LOT          ","30.35X120.17X30.30 BLVD OF THE ALLIES TO 3RD ST","PT 8 STY BRK & STL BLDG UNIT 200               ","51C01","PITTSBURGH URBAN","T","20 - Taxable","","","10","REGULAR","C","COMMERCIAL","550","CONDOMINIUM UNIT","0","","","","","","01-04-1983","1","3","LOVE&AFFECTION","","","","","","","326   3RD AVE   ","  ","PITTSBURGH PA  ","15222","82000","0","82000","0","82000","0","82000","82000","0","82000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","01-NOV-17"
